"","id","degree","betweenness","closeness","weight","community","color","color_palette","alpha","label","value","Cited_Author","Cited_Title"
"1","56562319",32,741894.362688393,9.93117694377961e-06,32,7,"#D19300","#D19300",0.2,"Boucher, SCFunctionalism and structuralism as philosophical stances: van Fraassen meets the philosophy of biology",32,"Boucher, SC","Functionalism and structuralism as philosophical stances: van Fraassen meets the philosophy of biology"
"2","99952264",122,2312071.54622325,9.48559612228831e-06,122,5,"#E18A00","#E18A00",0.2,"O'Malley, MAErnst Mayr, the tree of life, and philosophy of biology",122,"O'Malley, MA","Ernst Mayr, the tree of life, and philosophy of biology"
"3","28594227",24,549019.996213601,8.98803692285568e-06,24,2,"#F37B5A","#F37B5A",0.2,"Wilkins, JThe dimensions, modes and definitions of species and speciation",24,"Wilkins, J","The dimensions, modes and definitions of species and speciation"
"4","23144783",21,515396.166180711,9.86582478295185e-06,21,5,"#E18A00","#E18A00",0.2,"Wilkins, JSHow to be a chaste species pluralist-realist: the origins of species modes and the synapomorphic species concept",21,"Wilkins, JS","How to be a chaste species pluralist-realist: the origins of species modes and the synapomorphic species concept"
"5","21141632",38,1004226.36608637,9.91365209029354e-06,38,15,"#68B100","#68B100",0.2,"Kaplan, JMGenes 'for' phenotypes: A modern history view",38,"Kaplan, JM","Genes 'for' phenotypes: A modern history view"
"6","49405307",74,2649829.07771489,9.06889640599635e-06,74,15,"#68B100","#68B100",0.2,"Steen, DAConceptualizing communities as natural entities: a philosophical argument with basic and applied implications",74,"Steen, DA","Conceptualizing communities as natural entities: a philosophical argument with basic and applied implications"
"7","75682321",81,1473273.6946046,9.67763788214573e-06,81,4,"#E88521","#E88521",0.2,"Love, ACEvolutionary morphology, innovation, and the synthesis of evolutionary and developmental biology",81,"Love, AC","Evolutionary morphology, innovation, and the synthesis of evolutionary and developmental biology"
"8","68747121",63,1703680.08659685,9.98312851281335e-06,63,1,"#F8766D","#F8766D",0.2,"Michod, REOn the transfer of fitness from the cell to the multicellular organism",63,"Michod, RE","On the transfer of fitness from the cell to the multicellular organism"
"9","104082566",223,6662195.99608013,9.96383129240856e-06,223,9,"#BE9C00","#BE9C00",0.2,"Corcoran, AWFrom allostatic agents to counterfactual cognisers: active inference, biological regulation, and the origins of cognition",223,"Corcoran, AW","From allostatic agents to counterfactual cognisers: active inference, biological regulation, and the origins of cognition"
"10","75903157",228,9498093.83909535,1.07497984412792e-05,228,2,"#F37B5A","#F37B5A",0.2,"O'Malley, MASize doesn't matter: towards a more inclusive philosophy of biology",228,"O'Malley, MA","Size doesn't matter: towards a more inclusive philosophy of biology"
"11","79899410",114,2532745.39884611,8.11181323361211e-06,114,44,"#F365E7","#F365E7",0.2,"Lemoine, MDefining aging",114,"Lemoine, M","Defining aging"
"12","76837463",63,1129002.83497201,9.27230917587716e-06,63,10,"#B4A000","#B4A000",0.2,"Gilbert, SFRethinking individuality: the dialectics of the holobiont",63,"Gilbert, SF","Rethinking individuality: the dialectics of the holobiont"
"13","68442147",44,1162856.49473034,9.39575875449822e-06,44,32,"#00B1F5","#00B1F5",0.2,"Wilkins, JSSelection without replicators: the origin of genes, and the replicator/interactor distinction in etiobiology",44,"Wilkins, JS","Selection without replicators: the origin of genes, and the replicator/interactor distinction in etiobiology"
"14","89102639",45,666010.711708284,9.2529192960379e-06,45,2,"#F37B5A","#F37B5A",0.2,"Morgan, GJEvaluating Maclaurin and Sterelny's conception of biodiversity in cases of frequent, promiscuous lateral gene transfer",45,"Morgan, GJ","Evaluating Maclaurin and Sterelny's conception of biodiversity in cases of frequent, promiscuous lateral gene transfer"
"15","74562486",23,405983.801387194,9.65278917343166e-06,23,7,"#D19300","#D19300",0.2,"Matthewson, JDoes proper function come in degrees?",23,"Matthewson, J","Does proper function come in degrees?"
"16","97342714",57,1701743.13580338,8.85073239810594e-06,57,25,"#00C1AB","#00C1AB",0.2,"Colombetti, GAre emotional states based in the brain? A critique of affective brainocentrism from a physiological perspective",57,"Colombetti, G","Are emotional states based in the brain? A critique of affective brainocentrism from a physiological perspective"
"17","82434048",29,338524.775601305,9.09396797104481e-06,29,1,"#F8766D","#F8766D",0.2,"Lehmann, LFitness, inclusive fitness, and optimization",29,"Lehmann, L","Fitness, inclusive fitness, and optimization"
"18","22858906",54,1394632.0500835,9.49730751331997e-06,54,4,"#E88521","#E88521",0.2,"Hall, BKUnlocking the black box between genotype and phenotype: Cell condensations as morphogenetic (modular) units",54,"Hall, BK","Unlocking the black box between genotype and phenotype: Cell condensations as morphogenetic (modular) units"
"19","78890587",93,1967814.90568909,9.48604602629532e-06,93,10,"#B4A000","#B4A000",0.2,"Lynch, KEHow causal are microbiomes? A comparison with the Helicobacter pylori explanation of ulcers",93,"Lynch, KE","How causal are microbiomes? A comparison with the Helicobacter pylori explanation of ulcers"
"20","20382811",30,595014.284716648,7.95089527080749e-06,30,48,"#FF63B9","#FF63B9",0.2,"Falk, RThe rise and fall of dominance",30,"Falk, R","The rise and fall of dominance"
"21","68356813",29,370891.105194774,9.61667916834959e-06,29,1,"#F8766D","#F8766D",0.2,"Griesemer, JRPopulational heritability: Extending Punnett Square concepts to evolution at the metapopulation level",29,"Griesemer, JR","Populational heritability: Extending Punnett Square concepts to evolution at the metapopulation level"
"22","72731835",23,811505.122402975,1.00393542687334e-05,23,8,"#C89800","#C89800",0.2,"Barker, GBiological levers and extended adaptationism",23,"Barker, G","Biological levers and extended adaptationism"
"23","70101066",77,1669325.40784384,8.87154009936125e-06,77,11,"#A8A400","#A8A400",0.2,"Dubreuil, BPaleolithic public goods games: why human culture and cooperation did not evolve in one step",77,"Dubreuil, B","Paleolithic public goods games: why human culture and cooperation did not evolve in one step"
"24","70926085",69,1983240.44606237,9.19599422491563e-06,69,11,"#A8A400","#A8A400",0.2,"Driscoll, CGrandmothers, hunters and human life history",69,"Driscoll, C","Grandmothers, hunters and human life history"
"25","25351757",65,1227904.69126728,8.37401709974292e-06,65,32,"#00B1F5","#00B1F5",0.2,"Penny, DAn interpretive review of the origin of life research",65,"Penny, D","An interpretive review of the origin of life research"
"26","103835531",21,322396.663475192,8.94046544063084e-06,21,10,"#B4A000","#B4A000",0.2,"Ross, LNCauses with material continuity",21,"Ross, LN","Causes with material continuity"
"27","94532449",177,4992502.94228526,1.00519686780656e-05,177,21,"#00BE70","#00BE70",0.2,"O'Malley, MAThe other eukaryotes in light of evolutionary protistology",177,"O'Malley, MA","The other eukaryotes in light of evolutionary protistology"
"28","69199719",21,334934.785944974,7.3090866565314e-06,21,39,"#B684FF","#B684FF",0.2,"Velasco, JDThe prior probabilities of phylogenetic trees",21,"Velasco, JD","The prior probabilities of phylogenetic trees"
"29","48445292",54,1373976.71571626,9.07811719849303e-06,54,5,"#E18A00","#E18A00",0.2,"Quinn, AWhen is a cladist not a cladist?",54,"Quinn, A","When is a cladist not a cladist?"
"30","89410541",149,3849495.04856209,9.75333807995787e-06,149,19,"#00BB49","#00BB49",0.2,"Thomas, JSelf domestication and the evolution of language",149,"Thomas, J","Self domestication and the evolution of language"
"31","27031652",29,375036.887726878,9.00998306123184e-06,29,17,"#24B700","#24B700",0.2,"Elgin, MThere may be strict empirical laws in biology, after all",29,"Elgin, M","There may be strict empirical laws in biology, after all"
"32","56012500",42,1582269.50623916,1.00038014445489e-05,42,12,"#9BA800","#9BA800",0.2,"Matthews, LJOn mechanistic reasoning in unexpected places: the case of population genetics",42,"Matthews, LJ","On mechanistic reasoning in unexpected places: the case of population genetics"
"33","71648817",130,2669623.29769802,9.66893564356436e-06,130,4,"#E88521","#E88521",0.2,"Vergara-Silva, FPlants and the conceptual articulation of evolutionary developmental biology",130,"Vergara-Silva, F","Plants and the conceptual articulation of evolutionary developmental biology"
"34","104044412",95,1809654.79374381,9.04020177730367e-06,95,14,"#7CAE00","#7CAE00",0.2,"Gerrits, LThe evolution of Wright's (1932) adaptive field to contemporary interpretations and uses of fitness landscapes in the social sciences",95,"Gerrits, L","The evolution of Wright's (1932) adaptive field to contemporary interpretations and uses of fitness landscapes in the social sciences"
"35","82120333",22,448829.046543399,9.21692965639286e-06,22,24,"#00C19E","#00C19E",0.2,"Richardson, RCComplexity, self-organization and selection",22,"Richardson, RC","Complexity, self-organization and selection"
"36","72899825",42,803597.248299249,7.88911066055523e-06,42,22,"#00BF80","#00BF80",0.2,"Hurley, SNeural plasticity and consciousness",42,"Hurley, S","Neural plasticity and consciousness"
"37","27966368",46,897370.609575054,9.21336306178481e-06,46,10,"#B4A000","#B4A000",0.2,"Pradeu, TThe self model and the conception of biological identity in immunology",46,"Pradeu, T","The self model and the conception of biological identity in immunology"
"38","89573155",81,1608473.0552624,9.81556552380765e-06,81,10,"#B4A000","#B4A000",0.2,"Queller, DCProblems of multi-species organisms: endosymbionts to holobionts",81,"Queller, DC","Problems of multi-species organisms: endosymbionts to holobionts"
"39","83089223",32,605959.526258372,9.34378591517711e-06,32,1,"#F8766D","#F8766D",0.2,"Birch, JCollective action in the fraternal transitions",32,"Birch, J","Collective action in the fraternal transitions"
"40","70420284",40,1536874.35671633,1.00033010893595e-05,40,1,"#F8766D","#F8766D",0.2,"Calcott, BThe other cooperation problem: generating benefit",40,"Calcott, B","The other cooperation problem: generating benefit"
"41","94106882",44,774047.253297956,8.67084601444563e-06,44,2,"#F37B5A","#F37B5A",0.2,"Rohwer, FViral information",44,"Rohwer, F","Viral information"
"42","100486399",120,4447263.92275674,9.42444890535026e-06,120,11,"#A8A400","#A8A400",0.2,"von Rohr, CREvolutionary precursors of social norms in chimpanzees: a new approach",120,"von Rohr, CR","Evolutionary precursors of social norms in chimpanzees: a new approach"
"43","102602948",38,1527252.02478521,1.05804431089574e-05,38,4,"#E88521","#E88521",0.2,"Ereshefsky, MHomology thinking",38,"Ereshefsky, M","Homology thinking"
"44","70342883",34,1323638.1786263,9.53161637150428e-06,34,4,"#E88521","#E88521",0.2,"Clark, JARelations of homology between higher cognitive emotions and basic emotions",34,"Clark, JA","Relations of homology between higher cognitive emotions and basic emotions"
"45","74362897",38,2695102.72340435,1.07004515590558e-05,38,4,"#E88521","#E88521",0.2,"Griffiths, PEThe phenomena of homology",38,"Griffiths, PE","The phenomena of homology"
"46","74360930",24,578118.06958586,1.00368351851294e-05,24,4,"#E88521","#E88521",0.2,"Ereshefsky, MPsychological categories as homologies: lessons from ethology",24,"Ereshefsky, M","Psychological categories as homologies: lessons from ethology"
"47","73681719",38,608381.736321443,1.02778091821947e-05,38,4,"#E88521","#E88521",0.2,"Brigandt, IThe importance of homology for biology and philosophy",38,"Brigandt, I","The importance of homology for biology and philosophy"
"48","65035325",94,2169776.83008657,1.0198046054376e-05,94,10,"#B4A000","#B4A000",0.2,"Clarke, EPlant individuality: a solution to the demographer's dilemma",94,"Clarke, E","Plant individuality: a solution to the demographer's dilemma"
"49","79539823",68,2503801.21959796,1.00248616569091e-05,68,9,"#BE9C00","#BE9C00",0.2,"Linson, AZoocentrism in the weeds? Cultivating plant models for cognitive yield",68,"Linson, A","Zoocentrism in the weeds? Cultivating plant models for cognitive yield"
"50","70805796",82,2029733.08899694,9.97158099416663e-06,82,2,"#F37B5A","#F37B5A",0.2,"Bapteste, ETowards a processual microbial ontology",82,"Bapteste, E","Towards a processual microbial ontology"
"51","98129858",35,660060.756282259,8.95784438432736e-06,35,21,"#00BE70","#00BE70",0.2,"Bonnin, TEvidential reasoning in historical sciences: applying Toulmin schemes to the case of Archezoa",35,"Bonnin, T","Evidential reasoning in historical sciences: applying Toulmin schemes to the case of Archezoa"
"52","101938738",65,1252812.58846357,7.8791651236635e-06,65,31,"#00B5ED","#00B5ED",0.2,"Parker, DKuhnian revolutions in neuroscience: the role of tool development",65,"Parker, D","Kuhnian revolutions in neuroscience: the role of tool development"
"53","71929791",27,581909.692912322,9.54462589838791e-06,27,7,"#D19300","#D19300",0.2,"Winning, JInternal perspectivalism: the solution to generality problems about proper function and natural norms",27,"Winning, J","Internal perspectivalism: the solution to generality problems about proper function and natural norms"
"54","94609710",65,2211061.20709115,1.02080398521876e-05,65,4,"#E88521","#E88521",0.2,"DiFrisco, JBeyond networks: mechanism and process in evo-devo",65,"DiFrisco, J","Beyond networks: mechanism and process in evo-devo"
"55","100468437",54,919857.618864489,9.60928641439087e-06,54,8,"#C89800","#C89800",0.2,"Pearce, TEcosystem engineering, experiment, and evolution",54,"Pearce, T","Ecosystem engineering, experiment, and evolution"
"56","94264043",25,422746.32604044,9.84688100044311e-06,25,8,"#C89800","#C89800",0.2,"Watt, WBCausal mechanisms of evolution and the capacity for niche construction",25,"Watt, WB","Causal mechanisms of evolution and the capacity for niche construction"
"57","43477753",50,1047607.64269485,7.51382543880741e-06,50,39,"#B684FF","#B684FF",0.2,"Barker, DSeeing the wood for the trees: philosophical aspects of classical, Bayesian and likelihood approaches in statistical inference and some implications for phylogenetic analysis",50,"Barker, D","Seeing the wood for the trees: philosophical aspects of classical, Bayesian and likelihood approaches in statistical inference and some implications for phylogenetic analysis"
"58","73155788",37,1451690.11758699,1.0214608933697e-05,37,3,"#EE8043","#EE8043",0.2,"Mameli, MThe inheritance of features",37,"Mameli, M","The inheritance of features"
"59","98145756",89,1914409.50966318,8.05191877224343e-06,89,40,"#C77CFF","#C77CFF",0.2,"Jones, EDAncient genetics to ancient genomics: celebrity and credibility in data-driven practice",89,"Jones, ED","Ancient genetics to ancient genomics: celebrity and credibility in data-driven practice"
"60","75912136",79,3501004.47411986,1.03322863283187e-05,79,4,"#E88521","#E88521",0.2,"DiFrisco, JCharacter identity mechanisms: a conceptual model for comparative-mechanistic biology",79,"DiFrisco, J","Character identity mechanisms: a conceptual model for comparative-mechanistic biology"
"61","77505654",35,830806.873759713,9.53125297851656e-06,35,12,"#9BA800","#9BA800",0.2,"Wong, TYWThe evolutionary contingency thesis and evolutionary idiosyncrasies",35,"Wong, TYW","The evolutionary contingency thesis and evolutionary idiosyncrasies"
"62","102511997",23,1569604.43874267,9.28143156800505e-06,23,13,"#8CAB00","#8CAB00",0.2,"Bausman, WNot null enough: pseudo-null hypotheses in community ecology and comparative psychology",23,"Bausman, W","Not null enough: pseudo-null hypotheses in community ecology and comparative psychology"
"63","68400993",24,810198.385910625,9.42773640049024e-06,24,1,"#F8766D","#F8766D",0.2,"Skipper, RAThe persistence of the R.A. Fisher-Sewall Wright controversy",24,"Skipper, RA","The persistence of the R.A. Fisher-Sewall Wright controversy"
"64","25094305",34,804137.732111318,9.01079493232893e-06,34,5,"#E18A00","#E18A00",0.2,"Grantham, TThe role of fossils in phylogeny reconstruction: Why is it so difficult to integrate paleobiological and neontological evolutionary biology?",34,"Grantham, T","The role of fossils in phylogeny reconstruction: Why is it so difficult to integrate paleobiological and neontological evolutionary biology?"
"65","49112287",42,1185882.6208939,9.98552099455789e-06,42,12,"#9BA800","#9BA800",0.2,"McConwell, AKGouldian arguments and the sources of contingency",42,"McConwell, AK","Gouldian arguments and the sources of contingency"
"66","73357582",21,569038.34716279,8.65665956820582e-06,21,18,"#00B92E","#00B92E",0.2,"Prum, ROCoevolutionary aesthetics in human and biotic artworlds",21,"Prum, RO","Coevolutionary aesthetics in human and biotic artworlds"
"67","82337173",61,1655022.20498539,1.02272494835239e-05,61,21,"#00BE70","#00BE70",0.2,"O'Malley, MAMajor problems in evolutionary transitions: how a metabolic perspective can enrich our understanding of macroevolution",61,"O'Malley, MA","Major problems in evolutionary transitions: how a metabolic perspective can enrich our understanding of macroevolution"
"68","76183039",23,1114688.96311642,9.3085601519157e-06,23,25,"#00C1AB","#00C1AB",0.2,"Kaplan, DMHow to demarcate the boundaries of cognition",23,"Kaplan, DM","How to demarcate the boundaries of cognition"
"69","65510773",40,1262617.64059683,9.2695587690026e-06,40,14,"#7CAE00","#7CAE00",0.2,"Fumagalli, ROn the neural enrichment of economic models: tractability, trade-offs and multiple levels of description",40,"Fumagalli, R","On the neural enrichment of economic models: tractability, trade-offs and multiple levels of description"
"70","68248939",99,4971463.16131205,9.83293837697519e-06,99,6,"#D98F00","#D98F00",0.2,"Fitch, WTThe evolution of language: a comparative review",99,"Fitch, WT","The evolution of language: a comparative review"
"71","71682839",21,592189.598701982,1.00366337130526e-05,21,8,"#C89800","#C89800",0.2,"Ariew, AErnst Mayr's 'ultimate/proximate' distinction reconsidered and reconstructed",21,"Ariew, A","Ernst Mayr's 'ultimate/proximate' distinction reconsidered and reconstructed"
"72","72861327",22,401149.886126282,9.66118233549422e-06,22,3,"#EE8043","#EE8043",0.2,"Jablonka, EFrom replicators to heritably varying phenotypic traits: The extended phenotype revisited",22,"Jablonka, E","From replicators to heritably varying phenotypic traits: The extended phenotype revisited"
"73","68606425",39,746279.581377512,9.12933529309731e-06,39,4,"#E88521","#E88521",0.2,"Hall, BKOrganic selection: Proximate environmental effects on the evolution of morphology and behaviour",39,"Hall, BK","Organic selection: Proximate environmental effects on the evolution of morphology and behaviour"
"74","44726743",61,1210840.42237957,9.47804411081729e-06,61,17,"#24B700","#24B700",0.2,"Kaplan, DMMoving parts: the natural alliance between dynamical and mechanistic modeling approaches",61,"Kaplan, DM","Moving parts: the natural alliance between dynamical and mechanistic modeling approaches"
"75","75580528",23,993211.963016942,9.51230416543799e-06,23,8,"#C89800","#C89800",0.2,"Mitchell, SDIntegrative pluralism",23,"Mitchell, SD","Integrative pluralism"
"76","62585666",38,1734756.87007325,1.05680317040951e-05,38,2,"#F37B5A","#F37B5A",0.2,"Ereshefsky, MBiological individuality: the case of biofilms",38,"Ereshefsky, M","Biological individuality: the case of biofilms"
"77","102175445",37,670599.725017409,9.29748224180892e-06,37,3,"#EE8043","#EE8043",0.2,"Jablonka, EThe expanded evolutionary synthesis - a response to Godfrey-Smith, Haig, and West-Eberhard",37,"Jablonka, E","The expanded evolutionary synthesis - a response to Godfrey-Smith, Haig, and West-Eberhard"
"78","94307938",34,2365905.06047263,9.67342516638291e-06,34,3,"#EE8043","#EE8043",0.2,"Tabery, JDifference mechanisms: explaining variation with mechanisms",34,"Tabery, J","Difference mechanisms: explaining variation with mechanisms"
"79","84909987",116,3802244.30764287,9.99130756242069e-06,116,25,"#00C1AB","#00C1AB",0.2,"Boem, FOut of our skull, in our skin: the Microbiota-Gut-Brain axis and the Extended Cognition Thesis",116,"Boem, F","Out of our skull, in our skin: the Microbiota-Gut-Brain axis and the Extended Cognition Thesis"
"80","99223076",46,1503817.3567263,9.43565356054387e-06,46,9,"#BE9C00","#BE9C00",0.2,"Fabry, RELimiting the explanatory scope of extended active inference: the implications of a causal pattern analysis of selective niche construction, developmental niche construction, and organism-niche coordination dynamics",46,"Fabry, RE","Limiting the explanatory scope of extended active inference: the implications of a causal pattern analysis of selective niche construction, developmental niche construction, and organism-niche coordination dynamics"
"81","83107579",79,1652943.29837623,9.68185426872955e-06,79,21,"#00BE70","#00BE70",0.2,"Gorelick, RMitosis circumscribes individuals; sex creates new individuals",79,"Gorelick, R","Mitosis circumscribes individuals; sex creates new individuals"
"82","65005627",74,1469006.31568302,9.40972777657542e-06,74,2,"#F37B5A","#F37B5A",0.2,"Bapteste, EOn the need for integrative phylogenomics, and some steps toward its creation",74,"Bapteste, E","On the need for integrative phylogenomics, and some steps toward its creation"
"83","22457002",29,1197575.74793453,9.40786874141532e-06,29,16,"#4EB400","#4EB400",0.2,"Gerrans, PThe theory of mind module in evolutionary psychology",29,"Gerrans, P","The theory of mind module in evolutionary psychology"
"84","78642708",40,1200879.0170384,1.02520991172943e-05,40,7,"#D19300","#D19300",0.2,"Garson, JSelected effects and causal role functions in the brain: the case for an etiological approach to neuroscience",40,"Garson, J","Selected effects and causal role functions in the brain: the case for an etiological approach to neuroscience"
"85","56069544",47,820234.42219116,8.53723086379702e-06,47,6,"#D98F00","#D98F00",0.2,"Killin, AWhere did language come from? Connecting sign, song, and speech in hominin evolution",47,"Killin, A","Where did language come from? Connecting sign, song, and speech in hominin evolution"
"86","59024047",31,1114862.84556998,9.95738240331382e-06,31,12,"#9BA800","#9BA800",0.2,"Currie, AMarsupial lions and methodological omnivory: function, success and reconstruction in paleobiology",31,"Currie, A","Marsupial lions and methodological omnivory: function, success and reconstruction in paleobiology"
"87","69429443",47,2096796.13776089,1.0214608933697e-05,47,3,"#EE8043","#EE8043",0.2,"Mameli, MInnateness and the sciences",47,"Mameli, M","Innateness and the sciences"
"88","23618591",32,564956.197672777,8.1712698153293e-06,32,22,"#00BF80","#00BF80",0.2,"Quartz, SRInnateness and the brain",32,"Quartz, SR","Innateness and the brain"
"89","100460369",50,974851.624838173,9.22892344608002e-06,50,17,"#24B700","#24B700",0.2,"Poliseli, LPhilosophy of science in practice in ecological model building",50,"Poliseli, L","Philosophy of science in practice in ecological model building"
"90","32223942",30,610341.511248451,9.34841544358231e-06,30,12,"#9BA800","#9BA800",0.2,"Turner, DDHow much can we know about the causes of evolutionary trends?",30,"Turner, DD","How much can we know about the causes of evolutionary trends?"
"91","71233124",84,2062031.99039659,9.63298333493883e-06,84,2,"#F37B5A","#F37B5A",0.2,"Malaterre, CMicrobial diversity and the ""lower-limit"" problem of biodiversity",84,"Malaterre, C","Microbial diversity and the ""lower-limit"" problem of biodiversity"
"92","33177599",26,517559.510372447,8.58560708827721e-06,26,15,"#68B100","#68B100",0.2,"Valles, SAThe mystery of the mystery of common genetic diseases",26,"Valles, SA","The mystery of the mystery of common genetic diseases"
"93","52789658",47,783330.762623513,8.11240549047604e-06,47,13,"#8CAB00","#8CAB00",0.2,"Schilhab, TSSWhat mirror self-recognition in nonhumans can tell us about aspects of self",47,"Schilhab, TSS","What mirror self-recognition in nonhumans can tell us about aspects of self"
"94","75157495",25,508958.553555741,9.25223441461113e-06,25,22,"#00BF80","#00BF80",0.2,"Steel, DCan a reductionist be a pluralist?",25,"Steel, D","Can a reductionist be a pluralist?"
"95","21832592",30,726376.547253842,9.75800156128025e-06,30,5,"#E18A00","#E18A00",0.2,"Stamos, DNSpecies, languages, and the horizontal/vertical distinction",30,"Stamos, DN","Species, languages, and the horizontal/vertical distinction"
"96","20163116",24,1558221.52971714,9.90746428359126e-06,24,42,"#E16FF7","#E16FF7",0.2,"Horvath, CDInteractionism and innateness in the evolutionary study of human nature",24,"Horvath, CD","Interactionism and innateness in the evolutionary study of human nature"
"97","105212413",55,1512212.16931466,8.8428275825478e-06,55,33,"#00ACFC","#00ACFC",0.2,"Currie, ANot by demography alone: Neanderthal extinction and null hypotheses in paleoanthropological explanation",55,"Currie, A","Not by demography alone: Neanderthal extinction and null hypotheses in paleoanthropological explanation"
"98","61685349",73,1461487.39832491,9.73747760380151e-06,73,2,"#F37B5A","#F37B5A",0.2,"Doolittle, WFMicrobial neopleomorphism",73,"Doolittle, WF","Microbial neopleomorphism"
"99","75725252",51,2030943.70917771,1.05357425064531e-05,51,10,"#B4A000","#B4A000",0.2,"Haber, MHThe individuality thesis (3 ways)",51,"Haber, MH","The individuality thesis (3 ways)"
"100","72870332",56,960344.714454632,9.11269672034045e-06,56,5,"#E18A00","#E18A00",0.2,"Rieppel, O'Total evidence' in phylogenetic systematics",56,"Rieppel, O","'Total evidence' in phylogenetic systematics"
"101","72226424",21,406777.655659551,8.90678162352815e-06,21,25,"#00C1AB","#00C1AB",0.2,"Datteri, ESimulation experiments in bionics: a regulative methodological perspective",21,"Datteri, E","Simulation experiments in bionics: a regulative methodological perspective"
"102","89509963",66,969799.420563942,8.49653766090318e-06,66,2,"#F37B5A","#F37B5A",0.2,"Beiko, RGGene sharing and genome evolution: networks in trees and trees in networks",66,"Beiko, RG","Gene sharing and genome evolution: networks in trees and trees in networks"
"103","77156681",34,2523651.57043766,1.05211106084358e-05,34,10,"#B4A000","#B4A000",0.2,"Sterner, BIndividuating population lineages: a new genealogical criterion",34,"Sterner, B","Individuating population lineages: a new genealogical criterion"
